order,field,data_type,example,description,allowed_values
1.01,OBJECT_ID,numerical,1,Unique sequential integer identifier assigned to each zoning district feature across all municipalities.,
1.02,County,text,Addison,Vermont county in which the zoning district is located.,
1.03,RPC,text,ACRPC,Abbreviation of the Regional Planning Commission that serves the municipality.,
1.04,Municipal_Name,text,Middlebury,"Name of the Vermont municipality (town, city, or village) that adopted the zoning bylaw.",
1.05,GEO_ID,text,5000144350,"US Census geographic identifier (GEOID) for the municipality, used to link to Census data.",
1.06,District_Name,text,Low Density Residential/Agricultural District,Full name of the zoning district as defined in the municipal zoning bylaw.,
1.08,Abbreviated_District_Name,text,Ldr/A,Short abbreviation of the zoning district name as used in maps and tables.,
1.09,District_Type,text,Primarily Residential,"Classification of the district by its primary land use character (e.g., Primarily Residential, Nonresidential, Mixed with Residential, Overlay).","Primarily Residential,Nonresidential,Mixed with Residential,Overlay"
1.12,Bylaw_Date,text,2023-08-15,Date of the zoning bylaw document from which data was collected.,
1.13,Elderly_Housing_District,text,No,Indicates whether the district is designated specifically for elderly housing.,"Yes,No"
1.14,District_Mapped,text,Yes,Indicates whether the zoning district has a corresponding mapped geographic boundary.,"Yes,No"
1.15,Overlay_District,text,No,Indicates whether this record represents an overlay district layered on top of a base district.,"Yes,No"
1.16,Base_Density,numerical,0.2,"Maximum residential density allowed in the district as a baseline, expressed in units per acre.",
1.17,FIPS6,numerical,1055,Vermont six-digit FIPS place code identifying the municipality within the state.,
1.18,GIS_ID,text,Charlotte_Rural,"Identifier used in the source GIS system, typically combining municipality name and district name.",
1.19,Last_Update,text,20250313,Date the record was last updated in the source dataset.,
1.2,Shape_Length,numerical,1.3336,Perimeter length of the zoning district polygon in decimal degrees.,
1.21,Shape_Area,numerical,0.000625,Area of the zoning district polygon in decimal degrees squared.,
2.01,F1F_Allowance,text,Permitted,"Whether single-family (1-unit) residential structures are permitted in the district (e.g., Permitted, Prohibited, Allowed/Conditional, Public Hearing, Overlay).","Permitted,Prohibited,Allowed/Conditional,Public Hearing"
2.03,F1F_Front_Setback,numerical,75,"Minimum required setback from the front lot line for single-family structures, in feet.",
