target_field,source_field_1,source_field_2,file,feature_index,value_source_1,value_source_2,values_differ,note
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,1,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,2,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,3,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,4,25,25,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,5,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,6,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Washington_Northfield_rev.geojson,7,10,10,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,1,,,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,2,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,3,,,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,4,,,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,5,25,25,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,6,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,7,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,8,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,9,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,10,25,25,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,11,25,25,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,12,15,15,NO,
F1F_Side_Setback,1F Side Setback,2F Side Setback,Windsor_WoodstockVillage_rev.geojson,13,,,NO,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,1,Northfield ,Northfield High Density Residential District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,2,Northfield ,Northfield Industrial District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,3,Northfield ,Northfield Institutional District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,4,Northfield ,Northfield Low Density Residential District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,5,Northfield ,Northfield Medium Density Residential District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,6,Northfield ,Northfield Mixed Use District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Washington_Northfield_rev.geojson,7,Northfield ,Northfield Village District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,1,Woodstock Village ,Woodstock Village Central Commercial,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,2,Woodstock Village ,Woodstock Village Commercial/Light Industrial,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,3,Woodstock Village ,Woodstock Village Community,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,4,Woodstock Village ,Woodstock Village Design Review District,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,5,Woodstock Village ,Woodstock Village Inn,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,6,Woodstock Village ,Woodstock Village Light Commercial,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,7,Woodstock Village ,Woodstock Village Residential High Density,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,8,Woodstock Village ,Woodstock Village Residential Low Desnity,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,9,Woodstock Village ,Woodstock Village Residential Medium Density,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,10,Woodstock Village ,Woodstock Village Residential One Acre,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,11,Woodstock Village ,Woodstock Village Residential Three Acre,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,12,Woodstock Village ,Woodstock Village Residential/Office,YES,
Jurisdiction_District_Name,Jurisdiction,Jurisdiction District Name,Windsor_WoodstockVillage_rev.geojson,13,Woodstock Village ,Woodstock Village Scenic Ridgeline District,YES,
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,1,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,2,,Preexisting homes allowed.  No new housing permitted,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,3,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,4,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,5,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,6,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,7,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,8,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,9,Common non-res use?,,YES,"SPNOTES has data, TTIPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,10,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,11,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,12,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Bristol_rev.geojson,13,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,1,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,2,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,3,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,4,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,5,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,6,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,7,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Ferrisburgh_rev.geojson,8,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,1,,Minimum lot depth 200ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,2,,"Minimum lot depth 200ft. Maximum building size 10,000 sf. Maximum lot coverage is 25% and no more than 50% of any acre.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,3,,"State permit required for clearing land or creating impervious surfaces within 250ft of mean high water level. 
Minimum lot depth 200ft.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,4,,Minimum lot depth 200ft,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,5,,Minimum lot depth 200ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,6,,"Minimum lot depth 200ft. Maximum building size 10,000 ft. For all treatments, max lot coverage of buildings and impervious surfaces not to exceed 50% of any acre in addition to 25% total lot coverage.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Leicester_rev.geojson,7,,Minimum lot depth 200 ft. Max ADU size is whichever standard is larger. Density bonus of 2:1 available for PUDs.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,1,I'd love for someone to double check my interpretation of these laws! ,All development of new structures is subject to conditional use review depending on risks posed by the proposed development.,YES,BOTH HAVE DATA
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,2,Unclear whether or not multifamily homes are allowed in this district. The question has been flagged for when we seek Zoning Administrator approval.,"Structures greater than 3,500sf are subject to conditional use review. Homes must be set back 25ft from all streams.",YES,BOTH HAVE DATA
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,3,,"Encompasses the area 25ft from the banks of all streams and 35ft from the banks downstream of where the stream's watershed is greater than 10 square miles. The intent of the overlay layer is to preserve river habitats and prevent erosion. In some places, the overlay layer may extend beyond the 25 foot no-development buffer, at which point additional regulations are placed on development.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,4,,"Dwellings larger than 3,500 sf are subject to conditional use review. Dwellings must be setback 25 ft from all streams. Overall growth in Lincoln is limited on an annual basis (see Article 11 Section 201).",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,5,,"The planning commission may reduce minimum lot size, number of units, and setbacks for PUDs, with a maximum density bonus for single family homes of 1 unit per 0.75 acres.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Lincoln_rev.geojson,6,,"This overlay layer applies to the entire town of Lincoln. Provisions are not prohibitive of development, but encourage thoughtful siting to preserve communal viewsheds. ",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,1,"I'd love a second pair of eyes on this one, too! I'm not sure if the PUD & mobile house uses are correct.

BH - This is a conservation district primarily, so PUDs and mobile home parks are unlikely.  I changed the ADU to permitted/conditional the same as other districts.",,YES,"SPNOTES has data, TTIPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,2,,Minimum lot depth 400ft. Flood Hazard Area Map based off a combination of FEMA maps.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,3,,Minimum lot depth 200ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,4,"Flagging for review. This is a nonresidential district, but nothing prohibits PUDs and mobile home parks in this district...

BH - this is definitely an industrial district with only industrial and some commercial activities allowed.  mobile homes are residential and PUDs have residential as well.  I think it's correct the way you have it coded.",,YES,"SPNOTES has data, TTIPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,5,,Minimum lot depth 200ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,6,,Minimum lot depth 700ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,7,,Minimum lot depth 200ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_NewHaven_rev04012024.geojson,8,,Minimum lot depth 500ft.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,1,,Minimum lot depth 300'.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,2,,"Minimum lot depth 400'. Maximum building size 10,000 sf.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,3,,"This district is comprised of ""Zone A"" areas on sheets 5, 10, 15, and 20 of the FEMA FIRMs from November 1 1985.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,4,,Minimum lot depth 400'.,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,5,"Because the setbacks are dependent on road type, you can select from the ""Units/Special"" drop-down menu for each setback ""Contextual"" and keep the Notes as it.

Are all the setback dependent or only the front setback? YB
Only the front setback! GS

","Minimum lot depth: 125ft.
ADU size limit is whichever is larger.",YES,BOTH HAVE DATA
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,6,"Which setbacks are dependent on road type? All rear/front/side setbacks for all treatments? And what is the context for 25 ft - anything that is not a public road, private road, or Route 7? YB","Minimum lot depth: 200ft.
ADU size limit is whichever is larger.
PUDs in the 'Plains' subdistrict may qualify for a 2:1 density bonus.",YES,BOTH HAVE DATA
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,7,This information has been approved by the Salisbury zoning administrator.,Lake Shore 1 consists of the area from mean high water outward for 150ft. There is a minimum lot depth of 200ft. C=Land clearing or the creation of any impervious surfaces within 250ft of the mean high water line requires a permit.,YES,BOTH HAVE DATA
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,8,,"Lake Shore 2 surrounds Lake Shore 1, extending between 500-950 ft depending on the location. Land clearing or creating of impervious surfaces within 250' of the mean high water line requires a permit. The minimum lot depth is 200ft.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Addison_Salisbury_rev.geojson,9,,"Minimum lot depth: 200 ft.
ADU size limit is whichever is larger. 
PUDs that qualify as affordable housing are eligible for a 2:1 density bonus for affordable housing PUD.",YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Bennington_OldBennington_rev.geojson,1,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,1,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,2,,FCO seeks to preserve productive forestland by limiting development and fragmentation. The overlay prohibits new year-round residential development except for pre-existing lots entirely in the FCO which are allowed 1 year round single-family home. ,YES,"TTIPNOTES has data, SPNOTES empty"
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,3,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,4,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,5,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,6,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,7,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,8,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Rupert_rev.geojson,9,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Shaftsbury_rev.geojson,1,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Shaftsbury_rev.geojson,2,,,NO,both empty
Notes,SPNOTES,TTIPNOTES,Bennington_Shaftsbury_rev.geojson,3,,,NO,both empty
