source_field,target_field,match_type,order
OBJECTID,OBJECT_ID,Replace,1.01
OBJECTID_1,OBJECT_ID,Replace,1.01
County,County,Replace,1.02
Jurisdiction_County,County,Replace,1.02
RPC,RPC,Replace,1.03
Jurisdiction,Municipal_Name,Replace,1.04
Jurisdiction District Name,Municipal_Name,Replace,1.04
Jurisdiction_District_Name,Municipal_Name,Replace,1.04
Municipal_Name,Municipal_Name,Replace,1.04
GEO_ID,GEO_ID,Replace,1.05
DISTRICT,District_Name,Replace,1.06
District Name,District_Name,Replace,1.06
District_Name,District_Name,Replace,1.06
ABB_DIST_NAME,Abbreviated_District_Name,Replace,1.08
ABB_DIST_NAME,Abbreviated_District_Name,Replace,1.08
Abbreviated District Name,Abbreviated_District_Name,Replace,1.08
Abbreviated_District_Name,Abbreviated_District_Name,Replace,1.08
DIST_TYPE,District_Type,Replace,1.09
District Type,District_Type,Replace,1.09
District_Type,District_Type,Replace,1.09
Version,Zoning_Version,Remove,
Bylaw Date,Bylaw_Date,Replace,1.12
Bylaw_Date,Bylaw_Date,Replace,1.12
Bylaw_Date,Bylaw_Date,Replace,1.12
BYLAW_EFF,Bylaw_Date,Replace,1.12
Version,Bylaw_Date,Replace,1.12
Zoning_Version,Bylaw_Date,Replace,1.12
ELD_DIST,Elderly_Housing_District,Replace,1.13
Elderly Housing District,Elderly_Housing_District,Replace,1.13
Elderly_Housing_District,Elderly_Housing_District,Replace,1.13
DIST_MAP,District_Mapped,Replace,1.14
District Mapped,District_Mapped,Replace,1.14
District_Mapped,District_Mapped,Replace,1.14
OVER,Overlay_District,Replace,1.15
Overlay District,Overlay_District,Replace,1.15
Overlay_District,Overlay_District,Replace,1.15
Base Density,Base_Density,Replace,1.16
BASE_DENS,Base_Density,Replace,1.16
Base_Density,Base_Density,Replace,1.16
FID_1,FIPS6,Replace,1.17
FID,FIPS6,Replace,1.17
FIPS6,FIPS6,Replace,1.17
GIS_ID,GIS_ID,Replace,1.18
LAST_UPDATE,Last_Update,Replace,1.19
Shape__Len,Shape_Length,Replace,1.20
Shape_Length,Shape_Length,Replace,1.20
Shape_Area,Shape_Area,Replace,1.21
Shape__Are,Shape_Area,Replace,1.21
1F Allowance,F1F_Allowance,Replace,2.01
F1F_Allowance,F1F_Allowance,Replace,2.01
F1FDP,F1F_Allowance,Replace,2.01
1F Front Setback,F1F_Front_Setback,Replace,2.03
1F_FSET,F1F_Front_Setback,Replace,2.03
F1F_Front_Setback,F1F_Front_Setback,Replace,2.03
F1F_FSET,F1F_Front_Setback,Replace,2.03
1F Side Setback,F1F_Side_Setback,Replace,2.04
1F_SSET,F1F_Side_Setback,Replace,2.04
F1F_Side_Setback,F1F_Side_Setback,Replace,2.04
F1F_SSET,F1F_Side_Setback,Replace,2.04
1F Rear Setback,F1F_Rear_Setback,Replace,2.05
1F_RSET,F1F_Rear_Setback,Replace,2.05
F1F_Rear_Setback,F1F_Rear_Setback,Replace,2.05
F1F_RSET,F1F_Rear_Setback,Replace,2.05
1F Frontage,F1F_Frontage,Replace,2.06
1F_FRONT,F1F_Frontage,Replace,2.06
F1F_FRONT,F1F_Frontage,Replace,2.06
F1F_Frontage,F1F_Frontage,Replace,2.06
1F Max Height,F1F_Max_Height,Replace,2.08
1F_HEIGHT,F1F_Max_Height,Replace,2.08
F1F_HEIGHT,F1F_Max_Height,Replace,2.08
F1F_Max_Height,F1F_Max_Height,Replace,2.08
1F Max Stories,F1F_Max_Stories,Replace,2.08
1F_STORIES,F1F_Max_Stories,Replace,2.08
F1F_Max_Stories,F1F_Max_Stories,Replace,2.08
F1F_STORIES,F1F_Max_Stories,Replace,2.08
1F Min Lot,F1F_Min_Lot_Size,Replace,2.09
1F_MIN_LOT,F1F_Min_Lot_Size,Replace,2.09
F1F_Min_Lot,F1F_Min_Lot_Size,Replace,2.09
F1F_MIN_LOT,F1F_Min_Lot_Size,Replace,2.09
F1F_Min_Lot,F1F_Min_Lot_Size,Replace,2.09
1F Max Lot Building Coverage,F1F_Max_Lot_Building_Coverage,Replace,2.10
1F_MAX_LOT_BLDG,F1F_Max_Lot_Building_Coverage,Replace,2.10
F1F_MAX_LOT_BLDG,F1F_Max_Lot_Building_Coverage,Replace,2.10
F1F_Max_Lot_Building_Coverage,F1F_Max_Lot_Building_Coverage,Replace,2.10
1F Max Lot Impervious Coverage,F1F_Max_Lot_Impervious_Coverage,Replace,2.11
1F_MAX_LOT_IMP,F1F_Max_Lot_Impervious_Coverage,Replace,2.11
F1F_MAX_LOT_IMP,F1F_Max_Lot_Impervious_Coverage,Replace,2.11
F1F_Max_Lot_Impervious_Coverage,F1F_Max_Lot_Impervious_Coverage,Replace,2.11
1F Min Parking Spaces,F1F_Min_Parking_Spaces,Replace,2.12
1F_PARK,F1F_Min_Parking_Spaces,Replace,2.12
F1F_Min_Parking_Spaces,F1F_Min_Parking_Spaces,Replace,2.12
F1F_PARK,F1F_Min_Parking_Spaces,Replace,2.12
F1F_Elderly_Housing_Only,F1F_Elderly_Housing_Only,Replace,2.14
F1F_Affordable_Housing_Only,F1F_Affordable_Housing_Only,Replace,2.15
2F Allowance,F2F_Allowance,Replace,3.01
F2F_Allowance,F2F_Allowance,Replace,3.01
F2FDP,F2F_Allowance,Replace,3.01
2F Front Setback,F2F_Front_Setback,Replace,3.03
2F_FSET,F2F_Front_Setback,Replace,3.03
F2F_Front_Setback,F2F_Front_Setback,Replace,3.03
F2F_FSET,F2F_Front_Setback,Replace,3.03
2F Side Setback,F2F_Side_Setback,Replace,3.04
2F_SSET,F2F_Side_Setback,Replace,3.04
