status,reason,overlap_pct,municipality,district,county,fgb_area
missing,no_key_match,,Rockingham,Riverfront 14,Windham,1.126099632304754e-05
missing,no_key_match,,Rockingham,Central Business,Windham,8.644390208094837e-06
missing,no_key_match,,Rockingham,Industrial 14,Windham,2.0924032278059967e-05
missing,no_key_match,,Springfield,Exit Seven District,Windsor,1.2326247323688158e-05
missing,no_key_match,,Springfield,Riverbank Protection Overlay District,Windsor,0.0005772129854588021
missing,no_key_match,,Windsor,Downtown Design Review Overlay,Windsor,7.090119378776873e-05
missing,no_key_match,,Windsor,Village Mixed Use,Windsor,2.3593045054348418e-05
missing,no_key_match,,Windsor,Central Business,Windsor,2.2659353548743126e-05
missing,no_key_match,,Windsor,High Density Residential,Windsor,9.586077804726489e-05
missing,no_key_match,,Windsor,Industrial,Windsor,7.642957091558089e-05
missing,no_key_match,,Windsor,Medium Density Residential,Windsor,0.0005827586720637159
missing,no_key_match,,Windsor,Resource,Windsor,0.002186777348459298
missing,no_key_match,,Windsor,Low Density Residential,Windsor,0.00023781324013120804
missing,no_key_match,,Windsor,Rural Residential,Windsor,0.0020270261600290416
missing,no_key_match,,Windsor,Roadside Business,Windsor,5.2035773062105527e-05
missing,no_key_match,,Norwich,Village Business,Windsor,4.776365094040567e-06
missing,no_key_match,,Norwich,Village Residential Ii,Windsor,1.711784264662534e-05
missing,no_key_match,,Norwich,Village Residential I,Windsor,0.0002480716312606987
missing,no_key_match,,Norwich,Commercial Indsutrial,Windsor,5.387349001976979e-05
missing,no_key_match,,Hartford,Residential Two,Windsor,0.0002719027282935839
missing,no_key_match,,Hartford,Residential One,Windsor,0.0002671431640744072
missing,no_key_match,,Hartford,Central Business 2,Windsor,9.494394515610594e-06
missing,no_key_match,,Hartford,Central Business,Windsor,5.509102025975607e-05
missing,no_key_match,,Hartford,Residential One Multi-Family,Windsor,3.58115011066481e-05
missing,no_key_match,,Hartford,Industrial Commercial Two,Windsor,0.00011245388114634448
missing,no_key_match,,Hartford,Village Business,Windsor,3.519925723715875e-06
missing,no_key_match,,Hartford,Village Residential-Commercial,Windsor,6.0348487087008753e-05
missing,no_key_match,,Hartford,Village Residential One,Windsor,2.1482761101074518e-05
missing,no_key_match,,Hartford,Highway Commercial,Windsor,0.00015697838307405685
missing,no_key_match,,Hartford,Forest Conservation,Windsor,0.0014191417127837967
missing,no_key_match,,Hartford,Quechee Gorge,Windsor,3.274630044657773e-05
missing,no_key_match,,Hartford,Rural Lands Three,Windsor,0.00145633910185993
missing,no_key_match,,Hartford,Rural Lands Overlay District,Windsor,0.012811138484430967
missing,no_key_match,,Hartford,Rural Lands Ten,Windsor,0.004290006988620735
missing,no_key_match,,Hartford,Rural Lands Five,Windsor,0.0017789067598135175
missing,no_key_match,,Hartford,Wildlife Connector Overlay District,Windsor,0.0009297353499295646
missing,no_key_match,,Hartford,Rural Lands One,Windsor,0.001978538761467454
missing,no_key_match,,Hartford,Village Residential Two,Windsor,2.44762786086309e-05
missing,no_key_match,,Hartford,Quechee Interstate Interchange,Windsor,6.262974738930805e-05
missing,no_key_match,,Hartford,Residential Three,Windsor,0.0007233016623337928
missing,no_key_match,,Hartford,Residential Commercial Two,Windsor,0.00024386597312613296
missing,no_key_match,,Hartford,Agricultural Overlay District,Windsor,0.0009414763509555271
missing,no_key_match,,Hartford,Industrial Commercial,Windsor,0.00028846643669079797
missing,no_key_match,,Strafford,River Valley Conservation,Orange,0.0004042072168608925
missing,no_key_match,,Strafford,Rural Residential I,Orange,0.008116038556034988
missing,no_key_match,,Strafford,Village Centers,Orange,0.00022391718200317606
missing,no_key_match,,Strafford,Elizabeth Mine Water Quality Overlay,Orange,5.051580916202946e-05
missing,no_key_match,,Norwich,Rural Residential,Windsor,0.012620192078956583
missing,no_key_match,,Norwich,Ridgeline Protection Overlay,Windsor,0.0028028711532971933
missing,no_key_match,,Norwich,Flood Hazard Overlay,Windsor,0.0003929862087008177
missing,no_key_match,,Norwich,Aquifer Protection Area,Windsor,0.0010778925788490186
missing,no_key_match,,Thetford,Village Residential,Orange,0.0002747945561451842
missing,no_key_match,,Thetford,Historic Preservation Overlay,Orange,3.199179337397048e-05
missing,no_key_match,,Thetford,Rural Residential,Orange,0.012833442508654664
missing,no_key_match,,Thetford,Community Business,Orange,3.0111897705595315e-05
matched,overlap_100.0pct,100.0,Waterford,Village District,Caledonia,0.00022433148518764834
matched,overlap_100.0pct,100.0,Waterford,Rural Residential District,Caledonia,0.011275958894606494
missing,no_key_match,,Concord,Low Density,Essex,0.001766417221179135
missing,no_key_match,,Concord,Lakeshore,Essex,0.0006879290846370019
missing,no_key_match,,Concord,Medium Density,Essex,0.004953693174469004
missing,no_key_match,,Concord,Rural Lands,Essex,0.007497605355221448
missing,no_key_match,,Guildhall,Village District,Essex,7.49573964495533e-05
missing,no_key_match,,Guildhall,Rural Lands One,Essex,0.0001417980383530365
missing,no_key_match,,Guildhall,Rural Lands Three,Essex,0.0009426287513624051
missing,no_key_match,,Guildhall,Forest Conservation District,Essex,0.00738030512798173
missing,no_key_match,,Guildhall,Agricultural District,Essex,0.0005171315218201214
missing,no_key_match,,Guildhall,Rural Lands Two,Essex,0.0005413967873084531
missing,no_key_match,,Guildhall,Industrial District,Essex,6.794408238396979e-05
missing,no_key_match,,Maidstone,Ponds,Essex,0.00019808020037119658
missing,no_key_match,,Maidstone,Shoreland Overlay,Essex,0.0011574329863488033
missing,no_key_match,,Maidstone,Rural Lands Two,Essex,0.0006807694162462291
missing,no_key_match,,Maidstone,Forest,Essex,0.00802018297249672
missing,no_key_match,,Maidstone,Lake,Essex,8.557895604850993e-05
