field,matched_rows,sov_null_count,fillable_from_fgb,pct_fillable
ADU_Employee_or_Family_Occupancy_Required,914,163,144,88.3
ADU_Restricted_to_Primary_Structure,914,162,144,88.9
F3F_Elderly_Housing_Only,914,156,144,92.3
F4F_Connection_to_Sewage/Water_Required,914,159,144,90.6
F3F_Connection_to_Sewage/Water_Required,914,159,144,90.6
F2F_Side_Setback,914,317,16,5.0
F1F_Max_Lot_Impervious_Coverage,914,654,4,0.6
Notes,914,526,3,0.6
Affordable_Housing_Min_Parking_Spaces_per_mult_BR,914,871,2,0.2
Base_Density,914,553,2,0.4
Affordable_Housing_Min_Parking_Spaces_per_1BR,914,869,1,0.1
ADU_Max_Bedrooms,914,593,1,0.2
F1F_Frontage,914,322,1,0.3
ADU_Max_Size_in_sq_ft,914,461,1,0.2
F2F_Frontage,914,353,1,0.3
F3F_Frontage,914,490,1,0.2
F4F_Max_Density,914,674,1,0.1
F4F_Frontage,914,507,1,0.2
PUD_Requires_Land_Conservation,914,362,1,0.3
PUD_Threshold_Number,914,821,1,0.1
ADU_Min_Parking_Spaces,914,544,0,0.0
ADU_Renter_Occupancy_Prohibited,914,19,0,0.0
Affordable_Housing_Elderly_Only,914,30,0,0.0
Affordable_Housing_District,914,3,0,0.0
Affordable_Housing_Allowance,914,5,0,0.0
ADU_Owner_Occupancy_Required,914,16,0,0.0
ADU_Max_Size_as_Percent_of_Primary_Strcture,914,210,0,0.0
ADU_Min_Lot_Size,914,749,0,0.0
ADU_Elderly_Housing_Only,914,16,0,0.0
ADU_Allowance,914,4,0,0.0
F1F_Max_Stories,914,777,0,0.0
F1F_Max_Lot_Building_Coverage,914,680,0,0.0
F1F_Max_Height,914,253,0,0.0
F1F_Front_Setback,914,293,0,0.0
Elderly_Housing_District,914,3,0,0.0
F1F_Allowance,914,5,0,0.0
District_Mapped,914,1,0,0.0
District_Type,914,0,0,0.0
Affordable_Housing_Max_Density,914,872,0,0.0
Affordable_Housing_Min_Lot_Size,914,885,0,0.0
Affordable_Housing_Max_Units_per_Building,914,882,0,0.0
F2F_Max_Density,914,575,0,0.0
F2F_Front_Setback,914,334,0,0.0
F1F_Min_Lot_Size,914,246,0,0.0
F1F_Rear_Setback,914,268,0,0.0
F1F_Min_Parking_Spaces,914,378,0,0.0
F2F_Min_Parking_Spaces_per_1BR,914,382,0,0.0
F2F_Min_Lot_Size,914,292,0,0.0
F2F_Max_Stories,914,789,0,0.0
F2F_Max_Lot_Impervious_Coverage,914,674,0,0.0
F3F_Affordable_Housing_Only,914,12,0,0.0
F2F_Rear_Setback,914,302,0,0.0
F3F_Allowance,914,4,0,0.0
F2F_Min_Parking_Spaces_per_mult_BR,914,408,0,0.0
F3F_Front_Setback,914,480,0,0.0
F3F_Max_Density,914,659,0,0.0
F2F_Max_Height,914,303,0,0.0
F2F_Max_Lot_Building_Coverage,914,672,0,0.0
F2F_Affordable_Housing_Only,914,7,0,0.0
F2F_Allowance,914,5,0,0.0
F2F_Elderly_Housing_Only,914,7,0,0.0
F1F_Side_Setback,914,260,0,0.0
F3F_Min_Parking_Spaces_per_1BR,914,494,0,0.0
F3F_Min_Lot_Size,914,436,0,0.0
F3F_Max_Stories,914,797,0,0.0
F3F_Max_Lot_Impervious_Coverage,914,722,0,0.0
F3F_Max_Lot_Building_Coverage,914,717,0,0.0
F3F_Max_Height,914,432,0,0.0
F3F_Side_Setback,914,450,0,0.0
F3F_Min_Parking_Spaces_per_mult_BR,914,515,0,0.0
F4F_Elderly_Housing_Only,914,12,0,0.0
F4F_Allowance,914,4,0,0.0
F4F_Front_Setback,914,484,0,0.0
F4F_Max_Height,914,437,0,0.0
F4F_Max_Lot_Building_Coverage,914,718,0,0.0
F4F_Affordable_Housing_Only,914,12,0,0.0
F3F_Rear_Setback,914,446,0,0.0
F3F_Proximity_to_Public_Transit_Required,914,15,0,0.0
F4F_Min_Lot_Size,914,441,0,0.0
F4F_Max_Stories,914,796,0,0.0
F4F_Max_Lot_Impervious_Coverage,914,724,0,0.0
F4F_Min_Parking_Spaces_per_1BR,914,498,0,0.0
F4F_Rear_Setback,914,451,0,0.0
F4F_Side_Setback,914,455,0,0.0
F4F_Proximity_to_Public_Transit_Required,914,15,0,0.0
F4F_Min_Parking_Spaces_per_mult_BR,914,509,0,0.0
PRD_Allowance,914,7,0,0.0
Overlay_District,914,1,0,0.0
PRD_Max_Density,914,835,0,0.0
PRD_Max_Units,914,889,0,0.0
PRD_Mobile_or_Manufactured_Home_Park,914,23,0,0.0
PRD_Min_Lot_Size,914,792,0,0.0
PUD_Required_with_Subdivision,914,324,0,0.0
PUD_Allowance,914,191,0,0.0
