source_field,target_field,match_type
ADU Allowance,ADU_Allowance,normalized
ADU Elderly Housing Only,ADU_Elderly_Housing_Only,normalized
ADU Employee or Family Occupancy Required,ADU_Employee_or_Family_Occupancy_Required,normalized
ADU Max Bedrooms,ADU_Max_Bedrooms,normalized
ADU Max Size as Percent of Primary Strcture,ADU_Max_Size_as_Percent_of_Primary_Strcture,normalized
ADU Max Size in sq ft,ADU_Max_Size_in_sq_ft,normalized
ADU Min Lot Size,ADU_Min_Lot_Size,normalized
ADU Min Parking Spaces,ADU_Min_Parking_Spaces,normalized
ADU Owner Occupancy Required,ADU_Owner_Occupancy_Required,normalized
ADU Renter Occupancy Prohibited,ADU_Renter_Occupancy_Prohibited,normalized
ADU Restricted to Primary Structure,ADU_Restricted_to_Primary_Structure,normalized
ADU_Allowance,ADU_Allowance,exact
ADU_Elderly_Housing_Only,ADU_Elderly_Housing_Only,exact
ADU_Employee_or_Family_Occupancy_Required,ADU_Employee_or_Family_Occupancy_Required,exact
ADU_Max_Bedrooms,ADU_Max_Bedrooms,exact
ADU_Max_Size_as_Percent_of_Primary_Strcture,ADU_Max_Size_as_Percent_of_Primary_Strcture,exact
ADU_Max_Size_in_sq_ft,ADU_Max_Size_in_sq_ft,exact
ADU_Min_Lot_Size,ADU_Min_Lot_Size,exact
ADU_Min_Parking_Spaces,ADU_Min_Parking_Spaces,exact
ADU_Owner_Occupancy_Required,ADU_Owner_Occupancy_Required,exact
ADU_Renter_Occupancy_Prohibited,ADU_Renter_Occupancy_Prohibited,exact
ADU_Restricted_to_Primary_Structure,ADU_Restricted_to_Primary_Structure,exact
Abbreviated District Name,Abbreviated_District_Name,normalized
Abbreviated_District_Name,Abbreviated_District_Name,exact
Affordable Housing Allowance,Affordable_Housing_Allowance,normalized
Affordable Housing District,Affordable_Housing_District,normalized
Affordable Housing Elderly Only,Affordable_Housing_Elderly_Only,normalized
Affordable Housing Max Density,Affordable_Housing_Max_Density,normalized
Affordable Housing Max Units per Building,Affordable_Housing_Max_Units_per_Building,normalized
Affordable Housing Min Lot Size,Affordable_Housing_Min_Lot_Size,normalized
Affordable Housing Min Parking Spaces per 1BR,Affordable_Housing_Min_Parking_Spaces_per_1BR,normalized
Affordable Housing Min Parking Spaces per mult BR,Affordable_Housing_Min_Parking_Spaces_per_mult_BR,normalized
Affordable_Housing_Allowance,Affordable_Housing_Allowance,exact
Affordable_Housing_District,Affordable_Housing_District,exact
Affordable_Housing_Elderly_Only,Affordable_Housing_Elderly_Only,exact
Affordable_Housing_Max_Density,Affordable_Housing_Max_Density,exact
Affordable_Housing_Max_Units_per_Building,Affordable_Housing_Max_Units_per_Building,exact
Affordable_Housing_Min_Lot_Size,Affordable_Housing_Min_Lot_Size,exact
Affordable_Housing_Min_Parking_Spaces_per_1BR,Affordable_Housing_Min_Parking_Spaces_per_1BR,exact
Affordable_Housing_Min_Parking_Spaces_per_mult_BR,Affordable_Housing_Min_Parking_Spaces_per_mult_BR,exact
Base Density,Base_Density,normalized
Base_Density,Base_Density,exact
County,County,exact
District Mapped,District_Mapped,normalized
District Name,District_Name,normalized
District Type,District_Type,normalized
District_Mapped,District_Mapped,exact
District_Name,District_Name,exact
District_Type,District_Type,exact
Elderly Housing District,Elderly_Housing_District,normalized
